Name,City,State,Size_MW,Score_Default,Classification,Score_Best_Case,Score_Worst_Case,Score_Range,Missing_Inputs,PUE_Low_Score,PUE_High_Score,Growth_Low_Score,Growth_High_Score,OPEX_Low_Score,OPEX_High_Score,Data_Collection_Priority
Sovereign House (LHR20),London,,4.8,76.52,Excellent,82.63,65.28,17.35,baseline_pue; load_growth_rate; energy_pct_opex,72.35,77.13,72.98,80.05,74.52,78.52,HIGH
Meta Luleå,Luleå,,120.0,57.19,Good,67.09,49.76,17.33,baseline_pue; load_growth_rate; energy_pct_opex,54.0,59.43,53.22,61.16,56.79,60.79,HIGH
AWS IAD50,Ashburn,VA,40.0,54.34,Good,64.14,46.86,17.28,baseline_pue; load_growth_rate; energy_pct_opex,51.12,56.51,50.38,58.29,53.94,57.94,HIGH
AWS IAD60,Ashburn,VA,40.0,54.34,Good,64.14,46.86,17.28,baseline_pue; load_growth_rate; energy_pct_opex,51.12,56.51,50.38,58.29,53.94,57.94,HIGH
Multigrid Falun,Falun,,150.0,58.9,Good,67.18,49.91,17.27,baseline_pue; load_growth_rate; energy_pct_opex,55.74,61.12,54.94,62.86,56.9,60.9,HIGH
HYD11,Hyderabad,Telangana,48.0,55.02,Good,64.83,47.58,17.25,baseline_pue; load_growth_rate; energy_pct_opex,51.83,57.19,51.06,58.97,54.62,58.62,HIGH
AUS2-AUS3,Austin,TX,33.0,54.66,Good,62.79,45.58,17.21,baseline_pue; load_growth_rate; energy_pct_opex,51.45,56.78,50.7,58.6,52.66,56.66,HIGH
NM1,Mumbai,Maharashtra,52.0,56.73,Good,64.92,47.73,17.19,baseline_pue; load_growth_rate; energy_pct_opex,53.58,58.89,52.78,60.68,54.73,58.73,HIGH
SUPERNAP 8,Las Vegas,NV,50.0,56.56,Good,64.73,47.56,17.17,baseline_pue; load_growth_rate; energy_pct_opex,53.4,58.71,52.6,60.5,54.56,58.56,HIGH
LBL1,Liverpool,"North Wales, Merseyside & Cheshire",5.3,78.54,Excellent,82.97,65.84,17.13,baseline_pue; load_growth_rate; energy_pct_opex,74.48,79.09,75.01,82.04,74.94,78.94,HIGH
RCH-1,Richmond,VA,48.0,56.25,Good,64.39,47.28,17.11,baseline_pue; load_growth_rate; energy_pct_opex,53.12,58.38,52.3,60.19,54.25,58.25,HIGH
Vantage VA11,Ashburn,VA,48.0,56.25,Good,64.39,47.28,17.11,baseline_pue; load_growth_rate; energy_pct_opex,53.12,58.38,52.3,60.19,54.25,58.25,HIGH
Vantage VA12,Ashburn,VA,48.0,56.25,Good,64.39,47.28,17.11,baseline_pue; load_growth_rate; energy_pct_opex,53.12,58.38,52.3,60.19,54.25,58.25,HIGH
AWS IAD105,Manassas,VA,50.0,54.71,Good,64.44,47.36,17.08,baseline_pue; load_growth_rate; energy_pct_opex,51.6,56.83,50.77,58.65,54.31,58.31,HIGH
Green Mountain OSL2 Hamar,Hamar,,30.0,53.47,Good,61.52,44.44,17.08,baseline_pue; load_growth_rate; energy_pct_opex,50.31,55.53,49.53,57.4,51.47,55.47,HIGH
